id,year,rank,school,games,wins,losses,win_percentage,conference_wins,conference_losses,home_wins,home_losses,away_wins,away_losses,offensive_rating,defensive_rating,net_rating,field_goals,field_goal_attempts,field_goal_percentage,3_pointers,3_pointer_attempts,3_pointer_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,opponent_points,simple_rating
1,2021,1,Baylor,34,27,7,0.794,14,4,15,2,8,3,111.5,92.7,18.8,28.3,61.3,0.462,8.1,23.5,0.343,0.528,12.4,17.8,0.697,12.9,37.2,15.9,8.8,3.4,12.4,16.1,77,64.1,21.73
2,2021,2,Kansas,40,34,6,0.85,14,4,16,1,6,4,111.5,95.8,15.6,28.6,59.8,0.478,7.2,19.8,0.361,0.538,13.9,19.4,0.717,11,37.9,15.3,6.3,4.3,12.1,15.9,78.2,67.3,22.28
3,2021,3,Texas Tech,37,27,10,0.73,12,6,18,0,3,7,106,89.2,16.8,26.2,55.5,0.472,6.1,18.9,0.321,0.526,13.6,19.5,0.698,10.6,36.4,13.7,8,3.5,13.5,16.2,72.1,60.6,20.08
4,2021,4,Texas,34,22,12,0.647,10,8,16,3,4,7,105.9,93.4,12.5,24.5,55.5,0.441,6.6,20,0.33,0.501,13.2,17.7,0.746,10.4,33.3,13.2,7.7,3.4,11.6,17.9,68.8,60.6,17.01
5,2021,5,Oklahoma State,30,15,15,0.5,8,10,10,6,3,8,96.9,93.1,3.8,25.1,57.9,0.434,5.4,18.2,0.295,0.48,12.7,19.1,0.667,11.6,37.1,12.7,8.5,5.4,15.1,17.4,68.4,65.7,13.28
6,2021,6,TCU,34,21,13,0.618,8,10,12,4,4,6,101.1,95.8,5.3,25.4,57.7,0.439,5.5,18.3,0.302,0.487,12.2,18.1,0.674,13,39,13.6,6.4,4.1,14.5,15.5,68.5,64.9,13.72
7,2021,7,Iowa State,35,22,13,0.629,7,11,14,5,4,6,96.9,92.4,4.5,24.3,56.3,0.431,6.7,21.2,0.315,0.491,10.4,15.2,0.683,9.6,32.4,14.7,8.5,3.1,13.8,18.3,65.6,62.5,12.38
8,2021,8,Oklahoma,35,19,16,0.543,7,11,12,6,3,8,103,97,6,25.3,53.1,0.476,7.6,21.9,0.347,0.548,10.9,14.6,0.747,7.7,31.8,14,7.4,1.9,14.7,15.5,69.1,65,14.12
9,2021,9,Kansas State,31,14,17,0.452,6,12,9,7,5,7,101.5,99.2,2.3,24.1,57.4,0.42,8.4,24.3,0.346,0.494,12.3,17,0.726,8.9,33.2,12.5,7.3,1.6,11.5,17.1,69,67.5,10.61
10,2021,10,West Virginia,33,16,17,0.485,4,14,12,5,1,10,99.9,100.7,-0.8,23.6,57.1,0.413,6.3,19.2,0.328,0.468,14.9,20.6,0.724,10.8,32.2,10.5,7.8,4.5,12.4,17.4,68.5,69,10.23
11,2020,1,Baylor,30,28,2,0.933,13,1,11,0,7,1,118.6,93.7,24.9,30.6,62.9,0.486,10,24.1,0.413,0.565,11.8,16.7,0.708,12.5,36,16.9,8.9,3.7,11.5,17.1,82.9,65.5,24.83
12,2020,2,Kansas,30,21,9,0.7,12,6,14,1,4,6,104.3,95.7,8.6,26.3,60.3,0.436,7.6,22.1,0.342,0.499,12.9,18,0.716,11.1,37.5,13.8,6.9,4,12,15.3,73,67,15.29
13,2020,3,Oklahoma State,30,21,9,0.7,11,7,10,3,8,4,102.7,97.5,5.2,27.2,59.3,0.458,6.3,19.1,0.332,0.512,15.8,22.3,0.71,11.1,38.3,12.8,7.5,4.4,15.6,17.2,76.6,72.7,13.65
14,2020,4,Texas,27,19,8,0.704,11,6,8,5,6,2,105.5,96.8,8.7,26,57.3,0.454,8.6,24.1,0.356,0.529,13.8,19.4,0.71,10.8,38.4,13.2,6.5,4.1,14.6,19.7,74.4,68.2,15.51
15,2020,5,West Virginia,29,19,10,0.655,11,6,8,5,7,2,108.2,100.8,7.4,26.5,61.8,0.429,7.4,20.4,0.364,0.489,16.9,23.4,0.719,13.4,37.8,14,7.6,2.8,12,16.3,77.3,72,15.36
16,2020,6,Oklahoma,27,16,11,0.593,9,8,10,3,4,7,106.2,99.6,6.7,26.7,60.4,0.443,7.9,23,0.341,0.508,13.2,17.7,0.745,9.6,35.7,13.3,7.1,3.6,11,14.7,74.5,69.9,13.52
17,2020,7,Texas Tech,29,18,11,0.621,9,8,11,4,5,4,107.1,93.4,13.8,25.3,57.7,0.439,6.4,18,0.354,0.494,15.5,21.9,0.71,11.5,35,13,7.1,4,10.8,17.3,72.5,63.2,16.59
18,2020,8,TCU,26,12,14,0.462,5,11,6,7,3,6,98.4,104.9,-6.5,24,54.9,0.438,6.7,19.9,0.338,0.499,12,17.8,0.672,9.8,34.6,13,6,3.5,14.2,15.7,66.8,71.2,2.61
19,2020,9,Kansas State,29,9,20,0.31,4,14,6,12,2,7,92.9,105.6,-12.7,22.4,54.4,0.412,6.6,22.2,0.296,0.472,10.4,15.7,0.664,10.2,32.9,13,5.6,1.5,14.9,17,61.8,70.2,0.76
20,2020,10,Iowa State,24,2,22,0.083,0,18,2,10,0,11,93,108.8,-15.8,24.6,58.9,0.418,7.3,22.8,0.321,0.48,9,11.5,0.783,8.6,31.6,11.6,6.5,3.1,14.9,18.6,65.6,76.7,-0.72
21,2019,1,Kansas,31,28,3,0.903,17,1,14,1,11,1,109.4,89,20.3,27.5,56.7,0.484,6.4,18.6,0.344,0.541,13.3,19.9,0.667,10.7,38.6,13.9,7.6,4.7,12.8,14.6,74.6,60.7,24.96
22,2019,2,Baylor,30,26,4,0.867,15,3,14,1,8,2,106.4,89.9,16.4,25.4,59.3,0.429,7.7,21.9,0.351,0.494,12.6,18.3,0.69,12.9,36.9,13.8,8.1,4.4,11.9,17,71.1,60.1,20.13
23,2019,3,Oklahoma,31,19,12,0.613,9,9,12,3,4,8,100.8,96.7,4.1,24.5,58.3,0.42,7.2,22.7,0.318,0.482,14,18.2,0.766,8.4,36.9,11.8,6.1,4.4,11.1,13.4,70.2,67.4,13.48
24,2019,4,Texas,31,19,12,0.613,9,9,11,6,6,5,96.9,95.6,1.3,23.9,55.8,0.428,8,23.9,0.334,0.499,8.4,12.3,0.685,9,31.8,11.6,5.5,4.3,13.5,18.3,64.2,63.3,10.47
25,2019,5,Texas Tech,31,18,13,0.581,9,9,13,4,3,7,103.8,91.6,12.1,25.1,55.6,0.452,7.2,20.4,0.355,0.517,14.5,19.2,0.754,9,33.3,15.4,7.7,4,13.6,17.6,71.9,63.5,16.83
26,2019,6,West Virginia,31,21,10,0.677,9,9,14,2,4,8,100.9,89.6,11.3,25,59.1,0.422,5,17.5,0.286,0.465,15.4,23.9,0.642,15.2,40.5,12.4,7.7,3.6,14.4,18.5,70.3,62.4,18.51
27,2019,7,Oklahoma State,32,18,14,0.563,7,11,10,6,5,7,98.7,96.5,2.2,23.7,55.7,0.425,5.9,18.8,0.315,0.478,14.4,19.6,0.734,10.1,35.7,11.8,6.8,3.8,13.3,17.9,67.6,66.1,12.01
28,2019,8,TCU,32,16,16,0.5,7,11,14,5,1,9,98.5,97.8,0.7,23.7,56.2,0.422,8.6,24.3,0.352,0.498,9.5,14.9,0.637,11.2,34.9,14.6,6.9,4.9,14.2,16.4,65.4,65,9.86
29,2019,9,Iowa State,32,12,20,0.375,5,13,11,6,0,11,101.8,103.2,-1.4,26.1,59.5,0.439,7.1,22.4,0.316,0.498,12.7,17,0.746,10.2,34.3,13.8,7.4,4.2,13.3,16.2,72,73,9.1
30,2019,10,Kansas State,32,11,21,0.344,3,15,9,7,1,10,95.1,96.3,-1.2,22.5,54.4,0.414,6.7,21.3,0.313,0.475,12.5,18.9,0.661,10.3,32.8,12.4,8.7,2.4,14.3,19.1,64.2,65,8.7
31,2018,1,Kansas State,34,25,9,0.735,14,4,13,2,7,5,101.3,91.7,9.6,23.7,55.2,0.429,7.1,21.2,0.334,0.493,11.3,16.9,0.667,9.6,33.4,13.6,7.5,2.2,11.3,16.2,65.8,59.6,15.39
32,2018,2,Texas Tech,38,31,7,0.816,14,4,17,1,6,3,106.9,87.4,19.5,26.1,55.5,0.469,7.3,20,0.365,0.535,13.4,18.3,0.732,8.3,34.1,13.6,7.3,4.9,12,17.4,72.8,59.5,22.79
33,2018,3,Kansas,36,26,10,0.722,12,6,16,0,3,8,106.5,98.7,7.8,27.5,59.1,0.465,7.2,20.6,0.35,0.526,13.5,19.2,0.705,10.4,38.2,13.3,6.8,3.9,13.1,16.9,75.7,70.1,18.35
34,2018,4,Baylor,34,20,14,0.588,10,8,13,5,5,6,107.6,101.4,6.2,25.6,57.8,0.442,8.1,23.6,0.341,0.512,12.6,18.7,0.677,13.2,37.7,13.9,6.1,4.7,13.1,18.7,71.8,67.7,13.38
35,2018,5,Iowa State,35,23,12,0.657,9,9,12,4,5,6,112.7,99.9,12.9,27.8,58.5,0.476,8.4,23.2,0.363,0.548,12.9,17.6,0.732,9.3,35.1,15.1,7.1,4.6,10.8,14.8,76.9,68.1,18.07
36,2018,6,Texas,37,21,16,0.568,8,10,15,6,2,8,105.9,99,6.8,25.1,58,0.433,8.8,25.2,0.348,0.509,12,17.2,0.699,9.7,34.2,13.1,6.1,4.1,10.8,16.9,71,66.4,16.06
37,2018,7,Oklahoma,34,20,14,0.588,7,11,11,4,5,7,102.4,98,4.4,26,58.1,0.447,6.6,19.2,0.346,0.504,12.7,18.2,0.697,9,37.1,12.6,6,3,11.8,15.5,71.3,68.2,15.3
38,2018,8,TCU,37,23,14,0.622,7,11,15,5,3,7,104.9,98.9,6,26.8,58.6,0.457,7.6,22,0.346,0.521,12.7,18.6,0.682,10.7,36.4,16.2,6.9,4.4,13.5,15.8,73.8,69.6,13.81
39,2018,9,Oklahoma State,32,12,20,0.375,5,13,8,7,2,10,101,106.1,-5.1,23.8,56.1,0.423,8.8,23.5,0.372,0.501,11.8,17.2,0.689,9.2,34.2,13.2,5.7,4.3,12.1,16.1,68.1,71.5,8.09
40,2018,10,West Virginia,36,15,21,0.417,4,14,11,7,0,10,101.5,106.5,-5,25,60.6,0.413,7.5,23.7,0.316,0.475,16.2,23.6,0.688,14.4,39.6,13.6,6.2,3.5,15.5,19.6,73.8,77.4,6.94
41,2017,1,Kansas,39,31,8,0.795,13,5,14,3,8,3,115.5,102,13.5,29.9,60.7,0.492,10,25,0.401,0.575,11.6,16.4,0.708,9.8,35.6,16.6,6.5,4.1,11.7,15.3,81.4,71.9,21.39
42,2017,2,Texas Tech,37,27,10,0.73,11,7,17,1,4,6,108.4,94.2,14.2,26.1,56.6,0.46,6.8,19,0.359,0.52,15.6,22.2,0.704,11,36,14.3,7.1,4.3,12.3,18.1,74.6,64.8,19.38
43,2017,3,West Virginia,37,26,11,0.703,11,7,14,3,5,5,113.2,98.3,14.9,28,64.2,0.436,8.7,24.6,0.353,0.504,15.4,20.1,0.766,14.1,37.9,15.2,8.1,5.2,11.4,21.6,80.1,69.6,19.89
44,2017,4,Kansas State,37,25,12,0.676,10,8,14,3,6,5,106.4,100.3,6.2,25.3,54.7,0.463,6.9,20.1,0.341,0.525,13.6,18.5,0.734,8.2,30.7,13.8,7.9,3,11.4,18.5,71.1,67,12.85
45,2017,5,TCU,33,21,12,0.636,9,9,15,3,3,7,115.1,105.7,9.4,29.7,59.8,0.496,8.3,21,0.395,0.566,14.4,20.4,0.706,11.2,36.4,18.6,6.5,3.6,12.7,16.8,82.1,75.4,16.38
46,2017,6,Baylor,34,19,15,0.559,8,10,15,5,2,9,109.1,100.5,8.6,27.7,59,0.469,6.4,17.9,0.357,0.523,13.8,18.8,0.734,11.8,38,15.2,5.4,4.5,13.6,17.9,75.6,69.7,14.6
47,2017,7,Oklahoma,32,18,14,0.563,8,10,13,2,2,9,109.8,105.6,4.2,29.8,64.5,0.462,9.4,26.1,0.359,0.535,15.9,21.4,0.746,10.6,38.4,15,6.5,4.7,13.4,17.2,84.9,81.7,13.81
48,2017,8,Oklahoma State,36,21,15,0.583,8,10,15,6,3,7,107.4,102.7,4.7,26.6,61.8,0.431,8.2,23.6,0.348,0.498,15.1,19.9,0.757,12.9,37.4,14.3,6.6,4,12.9,19.2,76.6,73.3,12.45
49,2017,9,Texas,34,19,15,0.559,8,10,13,4,3,7,103.9,99.2,4.8,25.9,59.1,0.439,7.2,22.5,0.32,0.5,13,19.5,0.665,10.6,35.8,11.6,6.1,4.9,11.7,16.1,72.1,68.8,13.96
50,2017,10,Iowa State,31,13,18,0.419,4,14,9,7,0,10,103.9,107.6,-3.7,26.4,60.3,0.437,7.5,21.1,0.358,0.499,12.6,18,0.7,10.9,36.6,13.6,4.8,4.2,11.9,16.4,72.8,75.5,6.88
51,2016,1,Kansas,36,31,5,0.861,16,2,14,1,10,1,115.4,99.7,15.7,29.8,60.9,0.488,8.8,21.9,0.404,0.561,14.9,21.9,0.678,11.9,38.7,16.2,6.9,4.5,12.7,17.8,83.2,71.9,23.53
52,2016,2,Baylor,35,27,8,0.771,12,6,15,2,6,4,111.5,97.5,14.1,26.3,55.9,0.471,6.6,18.3,0.359,0.53,13.7,18.9,0.723,12.9,38,15.5,5.1,4.7,13.4,17.6,72.9,63.7,19.75
53,2016,3,Iowa State,35,24,11,0.686,12,6,12,3,5,6,112.5,100.6,11.9,29.5,62.5,0.472,9.8,24.6,0.4,0.55,12.1,17.3,0.7,9.1,34.8,15.8,7.8,3.5,10.1,15.9,80.8,72.3,20.51
54,2016,4,West Virginia,37,28,9,0.757,12,6,16,2,6,4,112.2,91.8,20.4,28.6,63.1,0.454,7.4,20.5,0.362,0.513,16.8,24.5,0.685,14.4,37.5,16.4,10,4.8,12.3,20.4,81.5,66.7,24.45
55,2016,5,Oklahoma State,33,20,13,0.606,9,9,11,5,7,5,117.8,107.9,10,29,62.1,0.467,8.9,22.2,0.402,0.539,18.8,23.8,0.789,13.8,36.8,14.7,7.6,3,13.1,22.1,85.7,78.5,19.19
56,2016,6,Kansas State,35,21,14,0.6,8,10,11,5,5,6,106.4,100,6.4,24.8,53.8,0.461,7.1,19.5,0.362,0.527,15.4,22.1,0.694,9.4,32.3,14.9,7.7,3.7,12.9,18,72.1,67.8,14.8
57,2016,7,TCU,39,24,15,0.615,6,12,15,6,4,8,108.8,101.5,7.3,27.3,58.6,0.466,7.2,20.3,0.354,0.527,13,18.9,0.686,11.6,36,16.9,6.6,4.5,12.9,17.3,74.7,69.7,15.64
58,2016,8,Texas Tech,32,18,14,0.563,6,12,16,3,1,9,109.6,100.2,9.3,26.1,55.5,0.47,6.6,18,0.367,0.53,14.5,19.8,0.733,9.3,32.8,13.3,5.3,3.1,11.1,17.6,73.3,67.1,14.11
59,2016,9,Oklahoma,31,11,20,0.355,5,13,8,7,1,9,100.6,102.3,-1.6,25.4,60.1,0.423,6.2,18,0.344,0.475,15.9,22.1,0.721,11.6,37.8,10.6,6.9,4.7,13.8,19.4,73,74.2,11.42
60,2016,10,Texas,33,11,22,0.333,4,14,10,7,0,11,97.9,100.5,-2.6,24.5,55.9,0.439,5.5,18.8,0.292,0.488,12.5,19.3,0.65,9.8,34.3,11.4,5.8,4.5,13.4,17.8,67.1,68.9,10.99
61,2015,1,Kansas,38,33,5,0.868,15,3,16,0,7,3,115.1,95.7,19.3,28.7,58.1,0.495,8,19.2,0.418,0.564,15.8,22.2,0.713,10.6,38,15.9,6.7,4.2,12.6,18.9,81.3,67.6,23.87
62,2015,2,West Virginia,35,26,9,0.743,13,5,13,2,7,4,110.3,93.7,16.6,26.9,60.1,0.449,6,18.4,0.325,0.498,18.7,27.8,0.673,15.9,39.4,14.6,9.8,2.7,14.2,23.4,78.5,66.7,21.61
63,2015,3,Oklahoma,37,29,8,0.784,12,6,14,1,7,5,111,99,12,27.5,60.1,0.458,10.3,24.5,0.422,0.543,14.3,19.8,0.722,11,38.3,14.5,6.7,5.1,13.1,17,79.7,71.1,19.76
64,2015,4,Texas,33,20,13,0.606,11,7,14,3,5,5,106.1,101.5,4.6,24.7,57.1,0.432,7,20.6,0.341,0.494,15,22.5,0.666,11,34.5,11.4,5.1,4.4,10.3,20.8,71.4,68.3,14.8
65,2015,5,Baylor,34,22,12,0.647,10,8,15,5,6,5,112.8,101.8,11,27.4,58.9,0.466,6.2,16.8,0.367,0.518,16,22.1,0.725,13.7,37.3,17.7,7.9,4,12.7,19.4,77.1,69.6,16.13
66,2015,6,Iowa State,35,23,12,0.657,10,8,14,2,4,7,113.1,103.7,9.4,31.1,61.7,0.503,8.4,21.7,0.387,0.571,11.3,16.1,0.702,8.7,35.5,16.5,6.2,4.1,11.4,15.5,81.8,75,16.93
67,2015,7,Texas Tech,32,19,13,0.594,9,9,14,3,3,7,106.7,103.5,3.2,24.5,54.8,0.448,5.8,16.7,0.346,0.5,17.2,23.2,0.742,10.2,33.9,13.1,5.9,4.2,12,18.4,72,69.9,12.41
68,2015,8,Kansas State,33,17,16,0.515,5,13,12,5,2,9,102.9,99.2,3.7,24.4,56.8,0.429,5.3,17.7,0.3,0.476,16.6,24.2,0.688,13.2,36.5,13.9,7.5,2.8,13.9,20,70.7,68.2,12.31
69,2015,9,Oklahoma State,32,12,20,0.375,3,15,8,8,1,9,101.1,102.1,-1,22.6,53.4,0.423,6.4,19.5,0.328,0.483,14.9,20.4,0.729,9.7,34.7,12.2,5.6,4.1,12.6,19.9,66.5,67.1,8.18
70,2015,10,TCU,33,12,21,0.364,2,16,9,9,1,10,95.7,102.2,-6.5,22.2,54.8,0.406,5.7,16.9,0.335,0.457,16.8,25,0.671,10.8,33.7,11.6,6.5,3.8,14.5,20.5,66.9,71.5,4.07
71,2014,1,Kansas,36,27,9,0.75,13,5,15,0,5,5,106.3,96.8,9.5,24.1,54.9,0.44,5.9,15.6,0.379,0.494,16.9,23.4,0.724,11.8,37.9,13.2,6.6,4.9,12.9,17.8,71.1,64.8,18.47
72,2014,2,Iowa State,34,25,9,0.735,12,6,15,1,6,5,111.4,98.8,12.6,27.6,58,0.476,7.7,21.4,0.362,0.543,14.8,21.2,0.696,9.5,35.9,16.1,6.4,3.9,11,15.5,77.8,69,17.94
73,2014,3,Oklahoma,35,24,11,0.686,12,6,14,1,5,6,105.2,92.4,12.8,25.3,58.1,0.435,6.7,19.7,0.343,0.493,14.1,19.1,0.741,11.1,38.1,12.3,6.8,5,12,16.3,71.5,62.7,18.65
74,2014,4,Baylor,34,24,10,0.706,11,7,16,2,6,5,109.2,95.2,14,23.9,55.1,0.434,6.9,18.4,0.377,0.497,14.3,21.3,0.674,14.6,39.2,14.6,7.7,3.9,12.8,16.6,69.1,60.2,17.85
75,2014,5,West Virginia,35,25,10,0.714,11,7,12,3,5,5,104.9,96.5,8.4,24.9,61.1,0.408,6.5,20.5,0.316,0.461,16.3,24.7,0.662,16.4,36.3,14.1,10.7,2.7,12.9,23.5,72.6,66.8,15.12
76,2014,6,Kansas State,32,15,17,0.469,8,10,13,4,1,10,99.5,100.8,-1.3,21.6,49.8,0.433,4.4,13.2,0.335,0.477,15.5,22.9,0.676,10.6,31.7,13,6.1,2.3,13.3,20,63,63.8,8.48
77,2014,7,Oklahoma State,32,18,14,0.563,8,10,12,4,3,8,103.6,96.5,7.1,22.9,52.1,0.44,7.1,20.2,0.349,0.507,14.6,20.2,0.726,9,32.5,11.4,7.9,4.9,12.3,19.2,67.5,62.8,12.95
78,2014,8,Texas,34,20,14,0.588,8,10,13,5,4,7,105.9,94.7,11.1,23.4,54,0.433,6.2,18.4,0.339,0.491,14.3,19.7,0.724,12.4,39.7,13,3.8,7.8,12.8,16.3,67.4,60.3,16.16
79,2014,9,TCU,33,18,15,0.545,4,14,13,6,2,8,104.6,95.7,8.9,24,54.8,0.437,4.5,13.9,0.327,0.479,15.7,25.5,0.615,13.5,36.8,13.2,6.3,5.3,12,20.6,68.2,62.4,11.1
80,2014,10,Texas Tech,32,13,19,0.406,3,15,13,6,0,10,95.9,101.3,-5.4,20.4,50.3,0.405,5.3,16.4,0.323,0.457,14.9,23.2,0.642,11.7,33.5,11.1,5.8,4.1,13.8,17.4,60.9,64.3,3.77
81,2013,1,Kansas,35,25,10,0.714,14,4,14,1,5,6,114.3,101.5,12.8,27.3,55.3,0.493,5.4,15.9,0.34,0.542,19,26.7,0.711,11.9,38.2,14.9,5.8,5.6,13.2,20.9,79,70.1,20.25
82,2013,2,Oklahoma,33,23,10,0.697,12,6,14,3,5,4,113,104.8,8.2,27.5,61.6,0.447,8.6,22.8,0.379,0.517,18.2,24.3,0.749,12.1,37.6,14.6,6.8,3.3,11.4,18.9,81.9,76,14.91
83,2013,3,Iowa State,36,28,8,0.778,11,7,15,1,4,6,113.9,102,11.8,29.5,62.2,0.474,8.4,23.3,0.358,0.542,15.7,22.6,0.693,10.4,38.5,18.4,5.9,2.9,10.6,17.3,83,74.4,18.52
84,2013,4,Texas,35,24,11,0.686,11,7,16,2,4,6,107,101.9,5.1,25.9,59.9,0.432,5.1,15.6,0.327,0.474,17.4,26,0.671,15.1,41.4,12.9,5.7,5.9,12.2,19.1,74.2,70.7,12.67
85,2013,5,Kansas State,33,20,13,0.606,10,8,15,2,2,7,104.2,98.6,5.5,24.2,55.8,0.434,6,18.1,0.331,0.488,14.7,22.5,0.656,12.3,35.8,15.2,6.2,3,12.2,21.6,69.1,65.4,12.14
86,2013,6,Baylor,38,26,12,0.684,9,9,13,4,5,5,115.1,104.3,10.8,25.2,55.5,0.455,7.4,19.1,0.386,0.521,17,25,0.68,13.8,38.3,14.8,5.2,5.3,11.6,17.1,74.8,67.8,15.8
87,2013,7,West Virginia,33,17,16,0.515,9,9,11,5,3,9,111.7,106.3,5.4,26.2,59.8,0.439,7.8,20.5,0.381,0.504,16.8,23.4,0.721,11.9,35.6,13.1,6.2,3,9.8,20.7,77.2,73.4,11.78
88,2013,8,Oklahoma State,34,21,13,0.618,8,10,13,3,3,7,112.8,97.8,15,26.4,57.1,0.463,7,19.3,0.364,0.524,20.4,28.4,0.719,9.8,35.4,13.6,7.6,4.7,10.5,20,80.2,69.6,19.02
89,2013,9,Texas Tech,32,14,18,0.438,6,12,11,6,2,10,107.2,107.2,0,24.5,53.7,0.456,4.4,14.1,0.311,0.497,15.1,20.8,0.728,11.8,32.9,11.4,6.1,3.7,12,18.9,68.4,68.4,8.61
90,2013,10,TCU,31,9,22,0.29,0,18,5,10,3,9,95.6,108.8,-13.3,21.1,52.4,0.403,4.7,14.6,0.322,0.448,16.7,22.9,0.732,8.4,29.9,11.4,6,3.2,11.7,17.2,63.6,72.5,-1.33
91,2012,1,Kansas,37,31,6,0.838,14,4,16,1,7,3,109.1,89.9,19.2,26.6,55.4,0.481,5.8,16.1,0.364,0.533,16.1,21.9,0.737,10.8,36.6,15.5,7,6.7,14,16.8,75.2,61.9,20.79
